sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
55,0.054200000000000005,0.0032019481569819336,GLM_Gamma,0.047924296931951015,0.060475703068048996,0.0498,0.0030763601869742106,0.055829555169942355,0.04377044483005764
55,0.046400000000000004,0.0029747954551531774,GLM_Gaussian,0.04056950804652634,0.052230491953473665,0.0422,0.0028432080472592927,0.04777258537318267,0.03662741462681733
55,0.055,0.0032241277890307017,Log_LR,0.04868082565194507,0.06131917434805493,0.0494,0.003064625262572897,0.05540655514075448,0.04339344485924552
55,0.053200000000000004,0.003173948959892077,LR,0.04697917434984317,0.05942082565015684,0.0478,0.003017123133052412,0.05371345267770538,0.041886547322294625
55,0.0494,0.003064625262572897,OLR,0.04339344485924552,0.05540655514075448,0.0494,0.003064625262572897,0.05540655514075448,0.04339344485924552
60,0.057600000000000005,0.0032949124419322587,GLM_Gamma,0.051142090281599856,0.06405790971840016,0.0524,0.003151324800778238,0.05857648311311321,0.04622351688688679
60,0.0512,0.0031170036894427955,GLM_Gaussian,0.045090785029013654,0.05730921497098635,0.0456,0.0029502759192997527,0.051382434546283315,0.03981756545371669
60,0.0506,0.0030996657884359083,Log_LR,0.04452476669055467,0.05667523330944533,0.046,0.002962566454950842,0.051806523553510155,0.040193476446489844
60,0.058,0.003305631558416636,LR,0.051521081199344385,0.06447891880065562,0.053,0.003168311853337673,0.05920977712433319,0.04679022287566681
60,0.0574,0.0032895361375124,OLR,0.050952627644632695,0.0638473723553673,0.0574,0.0032895361375124,0.0638473723553673,0.050952627644632695
65,0.053200000000000004,0.003173948959892077,GLM_Gamma,0.04697917434984317,0.05942082565015684,0.0486,0.0030409879973455995,0.054560226952215955,0.04263977304778404
65,0.0472,0.0029990718564249174,GLM_Gaussian,0.04132192717435948,0.05307807282564052,0.0428,0.0028624520956690267,0.04841030301498249,0.037189696985017506
65,0.055400000000000005,0.0032351457463304493,Log_LR,0.04905923085245437,0.061740769147545636,0.0496,0.0030704996336101396,0.055618068696419304,0.04358193130358069
65,0.0526,0.003156999841621789,LR,0.046412394011222644,0.05878760598877736,0.0486,0.0030409879973455995,0.054560226952215955,0.04263977304778404
65,0.0506,0.0030996657884359083,OLR,0.04452476669055467,0.05667523330944533,0.0506,0.0030996657884359083,0.05667523330944533,0.04452476669055467
70,0.056,0.003251584229264252,GLM_Gamma,0.04962701201794364,0.062372987982056365,0.0498,0.0030763601869742106,0.055829555169942355,0.04377044483005764
70,0.048600000000000004,0.0030409879973455995,GLM_Gaussian,0.042639773047784046,0.05456022695221596,0.0442,0.0029067631482458285,0.049897151082150086,0.03850284891784992
70,0.055400000000000005,0.0032351457463304493,Log_LR,0.04905923085245437,0.061740769147545636,0.051,0.003111237695837462,0.0570979138311848,0.04490208616881519
70,0.0548,0.003218600938296017,LR,0.04849165808033298,0.06110834191966702,0.0502,0.003088040155179333,0.05625244748696497,0.04414755251303503
70,0.054,0.003196372944448129,OLR,0.047735224147723423,0.060264775852276575,0.054,0.003196372944448129,0.060264775852276575,0.047735224147723423
75,0.0514,0.0031227564746550444,GLM_Gamma,0.04527950977718685,0.05752049022281315,0.0474,0.0030051036587778464,0.05328989494101412,0.04151010505898588
75,0.0466,0.002980887116279313,GLM_Gaussian,0.04075756861011309,0.05244243138988691,0.042,0.002836758713743557,0.04755994491176754,0.03644005508823246
75,0.053200000000000004,0.003173948959892077,Log_LR,0.04697917434984317,0.05942082565015684,0.048,0.0030231109804305894,0.05392518864291153,0.042074811357088474
75,0.0526,0.003156999841621789,LR,0.046412394011222644,0.05878760598877736,0.0496,0.0030704996336101396,0.055618068696419304,0.04358193130358069
75,0.0492,0.0030587369942510585,OLR,0.04320498565308763,0.055195014346912374,0.0492,0.0030587369942510585,0.055195014346912374,0.04320498565308763
